"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 09:01:22 MSK 2019","Tue Oct 15 09:01:25 MSK 2019","2631","test","test_add_contact","","","","test_add_contact[FirstNameILllXA:LastName4sQx:None;-7-716-37-260-41-630;949-24-18--5-9;718-644--34;63-0-6-701-1-74]",""
"passed","Tue Oct 15 09:01:32 MSK 2019","Tue Oct 15 09:01:35 MSK 2019","2425","test","test_add_group","","","","test_add_group[None:name;headerZtRvXsy00o8x  Sq6;footerbFwWGqF]",""
"passed","Tue Oct 15 09:01:30 MSK 2019","Tue Oct 15 09:01:32 MSK 2019","2335","test","test_add_group","","","","test_add_group[None:nameNNQiE jI;header53G89 5R80AVM;footerM08Xm]",""
"passed","Tue Oct 15 09:01:40 MSK 2019","Tue Oct 15 09:01:42 MSK 2019","2092","test","test_db_matches_ui","","","","test_group_list",""
"broken","Tue Oct 15 09:01:35 MSK 2019","Tue Oct 15 09:01:38 MSK 2019","3237","test","test_check_all_contacts_data","","","","test_check_all_contacts_data",""
"passed","Tue Oct 15 09:01:57 MSK 2019","Tue Oct 15 09:01:59 MSK 2019","2137","test","test_phones","","","","test_phones_on_contact_view_page",""
"passed","Tue Oct 15 09:01:42 MSK 2019","Tue Oct 15 09:01:42 MSK 2019","3","test","test_db_matches_ui","","","","test_contact_list",""
"passed","Tue Oct 15 09:01:42 MSK 2019","Tue Oct 15 09:01:44 MSK 2019","1718","test","test_del_contact","","","","test_del_contact",""
"passed","Tue Oct 15 09:01:51 MSK 2019","Tue Oct 15 09:01:57 MSK 2019","5361","test","test_phones","","","","test_phones_on_home_page",""
"passed","Tue Oct 15 09:01:39 MSK 2019","Tue Oct 15 09:01:40 MSK 2019","594","test","test_contact_data","","","","test_contact_data_on_home_page",""
"passed","Tue Oct 15 09:01:44 MSK 2019","Tue Oct 15 09:01:45 MSK 2019","983","test","test_del_group","","","","test_delete_some_group",""
"passed","Tue Oct 15 09:01:26 MSK 2019","Tue Oct 15 09:01:27 MSK 2019","1707","test","test_add_contact_to_group","","","","test_add_contact_to_group",""
"passed","Tue Oct 15 09:01:19 MSK 2019","Tue Oct 15 09:01:22 MSK 2019","2559","test","test_add_contact","","","","test_add_contact[FirstNamelDT:LastNamee2:None;80-008-205-6;65-287-04;880-8-2;311-1-3-503]",""
"passed","Tue Oct 15 09:01:49 MSK 2019","Tue Oct 15 09:01:51 MSK 2019","2462","test","test_modify_group","","","","test_modify_group_name",""
"passed","Tue Oct 15 09:01:27 MSK 2019","Tue Oct 15 09:01:30 MSK 2019","2520","test","test_add_group","","","","test_add_group[None:;;]",""
"passed","Tue Oct 15 09:01:16 MSK 2019","Tue Oct 15 09:01:19 MSK 2019","2580","test","test_add_contact","test_add_contact[","","","test_add_contact[::None;;;;]",""
"broken","Tue Oct 15 09:01:45 MSK 2019","Tue Oct 15 09:01:45 MSK 2019","1","test","test_delete_contact_from_group","","","","test_delete_contact_from_group",""
"passed","Tue Oct 15 09:01:46 MSK 2019","Tue Oct 15 09:01:48 MSK 2019","2640","test","test_modify_contact","","","","test_modify_contact",""
